River,Gauge Site,Date,Time,Up Stream Gauge,Up Stream ,Down Stream Gauge,Down Stream,Flood Limit in Lac Cusecs (Low),Flood Limit in Lac Cusecs (Med),Flood Limit in Lac Cusecs (High),Flood Limit in Lac Cusecs     (V High),Remarks
SUTLEJ,Sulemanki,16-Jun-24,06:00 Hrs,569,13707,558,2001,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,16-Jun-24,06:00 Hrs,455,3126,436.6,826,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,16-Jun-24,12:00 Hrs,-,-,14,168300,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,16-Jun-24,12:00 Hrs,693.5,190099,679.5,182343,2.5,3.75,5,6.5,Normal
INDUS,Chashma,16-Jun-24,12:00 Hrs,646.5,191343,613.8,184943,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,16-Jun-24,12:00 Hrs,446.7,171827,429.1,148323,2.5,3.75,5,6.5,Normal
INDUS,Guddu,16-Jun-24,12:00 Hrs,258.2,137088,248.2,109921,2,3.5,5,7,Normal
INDUS,Sukkar,16-Jun-24,12:00 Hrs,199.5,96570,189,47465,2,3.5,5,7,Normal
INDUS,Kotri,16-Jun-24,12:00 Hrs,69.9,58022,46.8,19307,2.5,4,5,6.5,Normal
JHELUM,Kotli,16-Jun-24,12:00 Hrs,-,-,7.6,2800,-,-,-,-,-
JHELUM,Rasul,16-Jun-24,12:00 Hrs,719,55797,700,36264,0.75,1.1,1.5,2.25,Normal
CHENAB,Marala,16-Jun-24,12:00 Hrs,-,42786,-,15286,1,1.5,2,4,Normal
CHENAB,Khanki,16-Jun-24,12:00 Hrs,733,17380,820.2,9330,1,1.5,2,4,Normal
CHENAB,Qadirabad,16-Jun-24,12:00 Hrs,700,25741,684.7,6216,1,1.5,2,4,Normal
CHENAB,Trimmu,16-Jun-24,12:00 Hrs,490.5,33336,481.7,16036,1.5,2,3,4.5,Normal
CHENAB,Punjnad,16-Jun-24,12:00 Hrs,338,17374,325.4,3574,1.5,2,3,4.5,Normal
RAVI,Jassar,16-Jun-24,12:00 Hrs,-,-,775.1,1284,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,16-Jun-24,12:00 Hrs,-,-,672,9990,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,16-Jun-24,12:00 Hrs,633,28360,617.8,2860,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,16-Jun-24,12:00 Hrs,467,13500,451.5,NR,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,16-Jun-24,12:00 Hrs,-,-,NR,NR,-,-,-,-,-
SUTLEJ,Sulemanki,16-Jun-24,12:00 Hrs,569,13707,558,2001,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,16-Jun-24,12:00 Hrs,455,3126,436.6,826,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,16-Jun-24,18:00 Hrs,-,-,11.5,142000,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,16-Jun-24,18:00 Hrs,693.5,183603,679.4,175847,2.5,3.75,5,6.5,Normal
INDUS,Chashma,16-Jun-24,18:00 Hrs,646.5,191563,613.8,185063,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,16-Jun-24,18:00 Hrs,446.7,171827,429.1,148323,2.5,3.75,5,6.5,Normal
INDUS,Guddu,16-Jun-24,18:00 Hrs,258.4,137404,248.9,110504,2,3.5,5,7,Normal
INDUS,Sukkar,16-Jun-24,18:00 Hrs,199.5,96570,189,47465,2,3.5,5,7,Normal
INDUS,Kotri,16-Jun-24,18:00 Hrs,69.9,58022,46.8,19307,2.5,4,5,6.5,Normal
JHELUM,Kotli,16-Jun-24,18:00 Hrs,-,,7.5,2600,-,-,-,-,-
JHELUM,Rasul,16-Jun-24,18:00 Hrs,719,61913,700.3,41380,0.75,1.1,1.5,2.25,Normal
CHENAB,Marala,16-Jun-24,18:00 Hrs,812,38962,795.2,11512,1,1.5,2,4,Normal
